19.04.2015                                                                                                                                               Dynamic List Display                                                                                                                                                      1
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  ISOURCE                      |OBJVERS|APPLNM                      |COMSTRU                      |OWNER       |TSTPNM     |           TIMESTMP|CONTREL|       CONTTIMESTMP|BCTCOMP|ISSRCTYPE|INVISIBLE|TXTSH               |TXTMD                                   |TXTLG                                                       |
|  0EC_CS_4                     |D      |EC-CS                       |0EC_CS_4                     |SAP         |SAP        |19,990,729,145,409 |2.0/02 |20,000,320,175,944 |       |         |         |Cons: Equity Changes|Consolidation:Changes in Investee Equity|Consolidation: Changes in Investee Equity                   |
|  0EC_PCA_1                    |A      |EC-PCA                      |0EC_PCA_1                    |SAP         |10149779   |20,091,012,202,913 |       |                 0 |       |         |         |Profit Ctr: Trs data|Profit Center: Transaction data         |Profit Center: Transaction data                             |
|  0EC_PCA_1                    |D      |EC-PCA                      |0EC_PCA_1                    |SAP         |SAP        |20,030,519,121,318 |3.3/01 |20,030,519,121,318 |       |         |         |Profit Ctr: Trs data|Profit Center: Transaction data         |Profit Center: Transaction data                             |
|  0EC_PCA_2                    |A      |EC-PCA                      |                             |SAP         |SAP        |19,990,117,005,212 |       |                 0 |       |         |         |PrCtr: Stat.key figs|Profit Center: Statistical key figures  |Profit Center: Statistical key figures                      |
|  0EC_PCA_2                    |D      |EC-PCA                      |0EC_PCA_2                    |SAP         |SAP        |                 0 |2.0/02 |20,000,321,165,642 |       |         |         |PrCtr:Stat.Key Figs |Profit Center: Statistical key figures  |Profit Center: Statistical key figures                      |
|  0EC_PCA_3                    |A      |EC-PCA                      |0EC_PCA_3                    |CONRADM     |35001562   |20,060,809,142,447 |       |                 0 |       |         |         |Profit Center: Actua|Profit Center: Actual Line Items        |Profit Center: Actual Line Items                            |
|  0EC_PCA_3                    |D      |EC-PCA                      |0EC_PCA_3                    |SAP         |SAP        |20,021,209,152,300 |3.2/01 |20,021,209,152,300 |       |         |         |Profit Center: Actua|Profit Center: Actual Line Items        |Profit Center: Actual Line Items                            |
|  0EC_PCA_4                    |A      |EC-PCA                      |0EC_PCA_4                    |CONRADM     |10149779   |20,091,014,154,944 |       |                 0 |       |         |         |Profit Center: Act.J|Profit Center: Act.Jrnl Entries,Periodic|Profit Center: Actual Journal Entries, Periodic Transfer    |
|  0EC_PCA_4                    |D      |EC-PCA                      |0EC_PCA_4                    |SAP         |SAP        |20,030,320,075,034 |3.2/01 |20,030,320,075,034 |       |         |         |Profit Center: Act.J|Profit Center: Act.Jrnl Entries,Periodic|Profit Center: Actual Journal Entries, Periodic Transfer    |
|  0EC_PCA_USER_1               |D      |EC_PCA_USER                 |0EC_PCA_USER_1               |SAP         |SAP        |20,050,331,120,800 |7.0/02 |20,050,331,120,800 |       |         |         |User for Profit Ctr |User for Profit Center and Areas        |User for Profit Center and Areas                            |
|  0EDS_0PLANT_ATTR             |D      |LO-IO                       |0EDS_0PLANT_ATTR             |SAP         |SAP        |20,030,220,222,544 |3.2/01 |20,030,220,222,544 |       |         |         |Plant ExportInfosou.|Plant (Export InfoSource)               |Plant (Export InfoSource)                                   |
|  0EDS_0RPM_GLOBALROLE_TEXT    |D      |0RPM-IO                     |0EDS_0RPM_GLOBALROLE_TEXT    |SAP         |SAP        |20,030,620,002,736 |3.3/01 |20,030,620,002,736 |       |         |         |Global Role ID/GUID |Global Role ID/GUID Text                |Global Role ID/GUID Text                                    |
|  0EDS_0RPM_PROJECT_TEXT       |D      |0RPM-IO                     |0EDS_0RPM_PROJECT_TEXT       |SAP         |SAP        |20,030,616,204,812 |3.3/01 |20,030,616,204,812 |       |         |         |Project ID/GUID Text|Project ID/GUID Text                    |Project ID/GUID Text                                        |
|  0EDS_0RPM_RESOURCE_TEXT      |D      |0RPM-IO                     |0EDS_0RPM_RESOURCE_TEXT      |SAP         |SAP        |20,030,619,223,133 |3.3/01 |20,030,619,223,133 |       |         |         |Resource ID/GUID Tex|Resource ID/GUID Text                   |Resource ID/GUID Text                                       |
|  0EDS_0RPM_ROLE_TEXT          |D      |0RPM-IO                     |0EDS_0RPM_ROLE_TEXT          |SAP         |SAP        |20,030,619,234,849 |3.3/01 |20,030,619,234,849 |       |         |         |Role ID/GUID Text   |Role ID/GUID Text                       |Role ID/GUID Text                                           |
|  0EDS_0RPM_TASK_TEXT          |D      |0RPM-IO                     |0EDS_0RPM_TASK_TEXT          |SAP         |SAP        |20,030,619,205,921 |3.3/01 |20,030,619,205,921 |       |         |         |Task ID/GUID Text   |Task ID/GUID Text                       |Task ID/GUID Text                                           |
|  0EDS_0RPM_TEAM_TEXT          |D      |0RPM-IO                     |0EDS_0RPM_TEAM_TEXT          |SAP         |SAP        |20,030,620,010,333 |3.3/01 |20,030,620,010,333 |       |         |         |Team ID/GUID Text   |Team ID/GUID Text                       |Team ID/GUID Text                                           |
|  0EDS_0RT_SEAROLL_ATTR        |D      |IS-R-IO                     |0EDS_0RT_SEAROLL_ATTR        |SAP         |SAP        |20,030,131,142,347 |3.2/01 |20,030,131,142,347 |       |         |         |Collection          |Collection                              |Collection                                                  |
|  0EDS_0RT_SKUROLL_ATTR        |D      |0RT_MAPN-IO                 |0EDS_0RT_SKUROLL_ATTR        |SAP         |SAP        |20,030,312,234,800 |3.2/01 |20,030,312,234,800 |       |         |         |Export InfoSource SK|Export InfoSource SKU Rollout           |Export InfoSource SKU Rollout                               |
|  0EHS_IH_IA_1                 |D      |0EHS_IH                     |0EHS_IH_IA_1                 |SAP         |SAP        |20,050,616,135,348 |7.0/02 |20,050,616,135,348 |       |         |         |Accidents: Involved |Accidents: Persons Involved             |Accidents: Persons Involved                                 |
|  0EHS_IH_IA_2                 |D      |0EHS_IH                     |0EHS_IH_IA_2                 |SAP         |SAP        |20,030,627,125,843 |3.3/01 |20,030,627,125,843 |       |         |         |Accidents: Measures |Accidents: Safety Measures              |Accidents: Safety Measures                                  |
|  0EHS_IH_WA_1                 |D      |0EHS_IH                     |0EHS_IH_WA_1                 |SAP         |SAP        |20,030,613,074,521 |3.3/01 |20,030,613,074,521 |       |         |         |Haz. Subs. Inventory|Hazardous Substance Inventory           |Hazardous Substance Inventory                               |
|  0EHS_PHRASES                 |D      |0EHS_IO                     |0EHS_PHRASES                 |SAP         |SAP        |20,030,611,084,557 |3.3/01 |20,030,611,084,557 |       |         |         |Phrases             |Phrases                                 |Phrases                                                     |
|  0EHS_SPEC_MAT                |D      |0EHS_PS                     |0EHS_SPEC_MAT                |SAP         |SAP        |20,030,526,144,340 |3.3/01 |20,030,526,144,340 |       |         |         |Specificat.-Material|Specification-Material Mapping          |Specification-Material Mapping                              |
|  0ELM_CC                      |D      |0ELM                        |0ELM_CC                      |SAP         |SAP        |20,030,702,081,021 |3.3/01 |20,030,702,081,021 |       |         |         |ODS Contact Counter |ODS Contact Counter                     |ODS Contact Counter                                         |
|  0EMPLOYEE_EDUCATION          |D      |PA-PA-IO                    |0EMPLOYEE_EDUCATION          |SAP         |SAP        |20,020,802,103,928 |3.1/01 |20,020,802,103,928 |       |         |         |Employee - Education|Employee - Education                    |Employee - Education                                        |
|  0EQUIPMENT_ATTR              |D      |PM                          |0EQUIPMENT_ATTR              |SAP         |SAP        |20,060,601,054,005 |7.0/03 |20,060,601,054,005 |       |         |         |Equipment Attributes|Equipment Attributes                    |Equipment Attributes                                        |
|  0FCEMMA_CASE                 |D      |0FI_CA_CM                   |0FCEMMA_CASE                 |SAP         |SAP        |20,040,406,063,831 |3.5/02 |20,040,406,063,831 |       |         |         |Case Man. Clear.Data|Clearing Data for Case Management       |Clearing Data for Case Management                           |
|  0FC_ACCNTBP_ATTR_TEXT        |D      |0FI_CA-IO                   |0FC_ACCNTBP_ATTR_TEXT        |SAP         |SAP        |20,040,720,163,810 |3.5/03 |20,040,720,163,810 |       |         |         |Contract Account    |Contract Account                        |Contract Account                                            |
|  0FC_CI_01                    |D      |0FI_CA                      |0FC_CI_01                    |SAP         |SAP        |20,060,424,145,908 |7.0/03 |20,060,424,145,908 |       |         |         |Cleared Items       |Cleared Items                           |Cleared Items                                               |
|  0FC_COLL_01                  |D      |0FI_CA                      |0FC_COLL_01                  |SAP         |SAP        |20,030,303,171,843 |3.2/01 |20,030,303,171,843 |       |         |         |Ext. Coll. Agencies |External Collection Agencies            |External Collection Agencies                                |
|  0FC_IPL_HEAD_01              |D      |0FI_CA                      |0FC_IPL_HEAD_01              |SAP         |SAP        |20,030,818,082,033 |3.3/01 |20,030,818,082,033 |       |         |         |Inst. Plan Hdr Data |Installment Plan Header Data            |Installment Plan Header Data                                |
|  0FC_IPL_ITEM_01              |D      |0FI_CA                      |0FC_IPL_ITEM_01              |SAP         |SAP        |20,030,304,105,337 |3.2/01 |20,030,304,105,337 |       |         |         |Inst. Plan Item Data|Installment Plan Item Data              |Installment Plan Item Data                                  |
|  0FC_OP_01                    |D      |0FI_CA                      |0FC_OP_01                    |SAP         |SAP        |20,040,226,152,009 |3.5/02 |20,040,226,152,009 |       |         |         |Open Items          |Open Items                              |Open Items                                                  |
|  0FG_IC02                     |D      |0PSM_FMFG                   |0FG_IC02                     |SAP         |SAP        |20,080,502,203,622 |7.0/04 |20,080,502,203,622 |       |         |         |Federal Government t|Federal Government totals               |Federal Government totals                                   |
|  0FG_IO01                     |D      |0PSM_FMFG                   |0FG_IO01                     |SAP         |SAP        |20,080,502,204,345 |7.0/04 |20,080,502,204,345 |       |         |         |Federal Government l|Federal Government line items           |Federal Government line items                               |
|  0FILA_001                    |D      |0FI_LA                      |0FILA_001                    |SAP         |SAP        |20,030,715,132,823 |3.3/01 |20,030,715,132,823 |       |         |         |Lease Header        |Lease Header                            |Lease Header                                                |
|  0FILA_002                    |D      |0FI_LA                      |0FILA_002                    |SAP         |SAP        |20,030,715,130,158 |3.3/01 |20,030,715,130,158 |       |         |         |Lease Items         |Lease Items                             |Lease Items                                                 |
|  0FILA_003                    |D      |0FI_LA                      |0FILA_003                    |SAP         |SAP        |20,030,715,133,344 |3.3/01 |20,030,715,133,344 |       |         |         |Asset Master Records|Asset Master Records for Leases         |Asset Master Records for Leases                             |
|  0FI_AA_001                   |A      |FI-AA                       |                             |SAP         |SAP        |19,990,725,031,250 |       |                 0 |       |         |         |ANNUAL VALUES       |ANNUAL VALUES                           |ANNUAL VALUES                                               |
|  0FI_AA_001                   |D      |FI-AA                       |0FI_AA_001                   |SAP         |SAP        |19,990,122,151,148 |2.0/02 |20,000,320,180,904 |       |         |         |ANNUAL VALUES       |ANNUAL VALUES                           |ANNUAL VALUES                                               |
|  0FI_AA_002                   |A      |FI-AA                       |                             |SAP         |SAP        |19,990,725,031,250 |       |                 0 |       |         |         |POSTED DEPRECIATION |POSTED DEPRECIATION                     |POSTED DEPRECIATION                                         |
|  0FI_AA_002                   |D      |FI-AA                       |0FI_AA_002                   |SAP         |SAP        |19,990,122,151,148 |2.0/02 |20,000,320,180,904 |       |         |         |POSTED DEPRECIATION |POSTED DEPRECIATION                     |POSTED DEPRECIATION                                         |
|  0FI_AA_003                   |A      |FI-AA                       |                             |SAP         |SAP        |19,990,725,031,251 |       |                 0 |       |         |         |REVALUATION/YEAR    |REVALUATION/YEAR                        |REVALUATION/YEAR                                            |
|  0FI_AA_003                   |D      |FI-AA                       |0FI_AA_003                   |SAP         |SAP        |19,990,122,151,148 |2.0/02 |20,000,320,180,904 |       |         |         |REVALUATIONS/YEAR   |REVALUATIONS/YEAR                       |REVALUATIONS/YEAR                                           |
|  0FI_AA_004                   |A      |FI-AA                       |                             |SAP         |SAP        |19,990,725,031,251 |       |                 0 |       |         |         |INVESTMENT SUPPORT  |INVESTMENT SUPPORT                      |INVESTMENT SUPPORT                                          |
|  0FI_AA_004                   |D      |FI-AA                       |0FI_AA_004                   |SAP         |SAP        |20,000,619,133,433 |2.1/01 |20,000,619,133,433 |       |         |         |INVESTMENT SUPPORT  |INVESTMENT SUPPORT                      |INVESTMENT SUPPORT                                          |
|  0FI_AA_005                   |A      |FI-AA                       |                             |SAP         |SAP        |19,990,725,031,251 |       |                 0 |       |         |         |FI-AA: Acquisitions |FI-AA: Acquisitions                     |FI-AA: Acquisitions                                         |
|  0FI_AA_005                   |D      |FI-AA                       |0FI_AA_005                   |SAP         |SAP        |19,990,122,151,148 |2.0/02 |20,000,320,180,904 |       |         |         |FI-AA: INFLOWS      |FI-AA: INFLOWS                          |FI-AA: INFLOWS                                              |
|  0FI_AA_006                   |A      |FI-AA                       |                             |SAP         |SAP        |19,990,725,031,251 |       |                 0 |       |         |         |TRANS. W/ VAL.ADJ.  |TRANS. W/ VAL.ADJ.                      |TRANS. W/ VAL.ADJ.                                          |
|  0FI_AA_006                   |D      |FI-AA                       |0FI_AA_006                   |SAP         |SAP        |19,990,122,151,148 |2.0/02 |20,000,320,180,904 |       |         |         |TRANS. W/ VAL.ADJ.  |TRANSFER WITH VALUE ADJUSTMENT          |TRANSFER WITH VALUE ADJUSTMENT                              |
|  0FI_AA_11                    |D      |FI-AA                       |0FI_AA_11                    |SAP         |SAP        |20,020,903,132,911 |3.1/01 |20,020,903,132,911 |       |         |         |FIAA: Movements     |FIAA: Movements                         |FIAA: Movements                                             |
|  0FI_AA_12                    |D      |FI-AA                       |0FI_AA_12                    |SAP         |SAP        |20,030,127,191,203 |3.2/01 |20,030,127,191,203 |       |         |         |Depreciat. Posted   |Depreciation Posted (Period Value)      |Depreciation Posted (Period Value)                          |
|  0FI_AP_1                     |A      |FI-AP                       |                             |SAP         |SAP        |19,990,117,005,153 |       |                 0 |       |         |         |Vendor: Trans. Figs |Vendor: Transaction Figures             |Vendor: Transaction Figures                                 |
|  0FI_AP_1                     |D      |FI-AP                       |0FI_AP_1                     |SAP         |SAP        |                 0 |2.0/02 |20,000,320,180,549 |       |         |         |Vendors: Tr. figures|Vendors: Transaction figures            |Vendors: Transaction figures                                |
|  0FI_AP_2                     |A      |FI-AP                       |                             |SAP         |SAP        |19,990,117,005,153 |       |                 0 |       |         |         |Vendors: Item       |Vendors: Item                           |Vendors: Item                                               |
|  0FI_AP_3                     |A      |FI-AP                       |0FI_AP_3                     |SAP         |K1562      |20,030,224,085,037 |       |                 0 |       |         |         |Vendors: Line items |Vendors: Line items                     |Vendors: Line items                                         |
|  0FI_AP_3                     |D      |FI-AP                       |0FI_AP_3                     |SAP         |SAP        |20,030,314,073,929 |3.2/01 |20,030,314,073,929 |       |         |         |Vendors: Line Items |Vendors: Line items (from R/3 Update)   |Vendors: Line items (from R/3 Update)                       |
|  0FI_AP_4                     |D      |FI-AP                       |0FI_AP_4                     |SAP         |SAP        |20,030,313,124,737 |3.2/01 |20,030,313,124,737 |       |         |         |Vendors: Line Items |Vendors: Linte Items (Extraction Linked |Vendors: Linte Items (Extraction Linked to 0FI_GL_4)        |
|  0FI_AP_6                     |D      |FI-AP                       |0FI_AP_6                     |SAP         |SAP        |20,030,204,141,236 |3.2/01 |20,030,204,141,236 |       |         |         |Vendors: Trans. Figs|Vendors: Trans. Figs with Delta Method  |Vendors: Transaction Figures with Delta Method              |
|  0FI_AP_7                     |D      |FI-AP                       |0FI_AP_7                     |SAP         |SAP        |20,030,204,142,121 |3.2/01 |20,030,204,142,121 |       |         |         |Vendors: SGL TFigs  |Vendors: SGL Trans. Figs with Dlta Mth  |Vendors: SGL Transaction Figures with Delta Method          |
|  0FI_AR_1                     |A      |FI-AR                       |                             |SAP         |SAP        |19,990,117,005,154 |       |                 0 |       |         |         |Custmr: Trans. Figs |Customer: Transaction Figures           |Customer: Transaction Figures                               |
|  0FI_AR_1                     |D      |FI-AR                       |0FI_AR_1                     |SAP         |SAP        |                 0 |2.0/02 |20,000,320,180,549 |       |         |         |Customers: Tr. figs |Customers: Transaction figures          |Customers: Transaction figures                              |
|  0FI_AR_10                    |A      |FI-AR                       |0FI_AR_10                    |SEYFRIED    |10149779   |20,090,922,161,812 |       |                 0 |       |         |         |Customer Payment His|Customer Payment History Using Delta Met|Customer Payment History Using Delta Method                 |
|  0FI_AR_10                    |D      |FI-AR                       |0FI_AR_10                    |SAP         |SAP        |20,030,204,152,051 |3.2/01 |20,030,204,152,051 |       |         |         |Customer Payment His|Customer Payment History Using Delta Met|Customer Payment History Using Delta Method                 |
|  0FI_AR_2                     |A      |FI-AR                       |                             |SAP         |SAP        |19,990,117,005,154 |       |                 0 |       |         |         |Customers: Item     |Customers: Item                         |Customers: Item                                             |
|  0FI_AR_3                     |D      |FI-AR                       |0FI_AR_3                     |SAP         |SAP        |20,030,313,122,724 |3.2/01 |20,030,313,122,724 |       |         |         |Customers: Item     |Customers: Item                         |Customers: Item                                             |
|  0FI_AR_4                     |A      |FI-AR                       |0FI_AR_4                     |PUTZ        |10149779   |20,090,930,204,606 |       |                 0 |       |         |         |Customers: Line Item|Customers: Line Items (Extraction Linked|Customers: Line Items (Extraction Linked to 0FI_GL_4))      |
|  0FI_AR_4                     |D      |FI-AR                       |0FI_AR_4                     |SAP         |SAP        |20,030,313,121,939 |3.2/01 |20,030,313,121,939 |       |         |         |Customers: Line Item|Customers: Line Items (Extraction Linked|Customers: Line Items (Extraction Linked to 0FI_GL_4))      |
|  0FI_AR_5                     |D      |FI-AR                       |0FI_AR_5                     |SAP         |SAP        |20,010,713,132,343 |3.0/01 |20,010,713,132,343 |       |         |         |Customers: Payment H|Customers: Payment History              |Customers: Payment History                                  |
|  0FI_AR_6                     |D      |FI-AR                       |0FI_AR_6                     |SAP         |SAP        |20,030,204,144,416 |3.2/01 |20,030,204,144,416 |       |         |         |Customers: TransFigs|Customers: Trans. Figs with Delta Method|Customers: Transaction Figures wiht Delta Method            |
|  0FI_AR_7                     |D      |FI-AR                       |0FI_AR_7                     |SAP         |SAP        |20,030,204,145,345 |3.2/01 |20,030,204,145,345 |       |         |         |Customers: SGL TFigs|Customers: SGL Trans. Fig with Dlta Meth|Customers: SGL Transaction Figures with Delta Method        |
|  0FI_AR_8                     |A      |FI-AR                       |0FI_AR_8                     |SEYFRIED    |10149779   |20,090,922,200,105 |       |                 0 |       |         |         |Customers: CredMgmnt|Customers: Credit Management Centrl Data|Customers: Central Data for Credit Management               |
|  0FI_AR_8                     |D      |FI-AR                       |0FI_AR_8                     |SAP         |SAP        |20,030,204,150,043 |3.2/01 |20,030,204,150,043 |       |         |         |Customers: CredMgmnt|Customers: Credit Management Centrl Data|Customers: Central Data for Credit Management               |
|  0FI_AR_9                     |A      |FI-AR                       |0FI_AR_9                     |SEYFRIED    |10149779   |20,090,922,193,913 |       |                 0 |       |         |         |Customers: CredMgmnt|Customers: Credit Managegment, Ctrl Area|Customers: Credit Management, Control Area Data             |
|  0FI_AR_9                     |D      |FI-AR                       |0FI_AR_9                     |SAP         |SAP        |20,030,204,150,927 |3.2/01 |20,030,204,150,927 |       |         |         |Customers: CredMgmnt|Customers: Credit Managegment, Ctrl Area|Customers: Credit Management, Control Area Data             |
|  0FI_FM_1                     |D      |0FI_FM                      |0FI_FM_1                     |SAP         |SAP        |20,000,606,123,733 |2.0/02 |20,000,606,123,733 |       |         |         |Budgt in Funds Mngmt|Budget in Funds Management              |Budget in Funds Management                                  |
|  0FI_FM_2                     |D      |0FI_FM                      |0FI_FM_2                     |SAP         |SAP        |19,990,818,093,141 |       |                 0 |       |         |         |Com&ActinFundsManage|Commitment and Actual in Funds Managemnt|Commitment and Actual in Funds Management                   |
|  0FI_FM_31                    |D      |0FI_FM                      |0FI_FM_31                    |SAP         |SAP        |20,000,907,113,501 |2.1/01 |20,000,907,113,501 |       |         |         |Cmmt Line Items     |Commitment Line Items in Funds Mgmt     |Commitment Line Item in Funds Management                    |
|  0FI_FM_32                    |D      |0FI_FM                      |0FI_FM_32                    |SAP         |SAP        |20,000,907,131,824 |2.1/01 |20,000,907,131,824 |       |         |         |FI Line Items in FM |FI Line Items in Funds Management       |FI Line Items in Funds Management                           |
|  0FI_FM_33                    |D      |0FI_FM                      |0FI_FM_33                    |SAP         |SAP        |20,000,907,144,147 |2.1/01 |20,000,907,144,147 |       |         |         |CO Line Items in FM |CO Line Items in Funds Management       |CO Line Items in Funds Management                           |
|  0FI_GL_1                     |A      |FI-GL                       |                             |SAP         |SAP        |19,990,117,005,154 |       |                 0 |       |         |         |GL.: Trans. Figs    |GL.: Transaction Figures                |GL.: Transaction Figures                                    |
|  0FI_GL_1                     |D      |FI-GL                       |0FI_GL_1                     |SAP         |SAP        |                 0 |2.0/02 |20,000,320,180,549 |       |         |         |Gen.ledger: Tr. figs|General Ledger: Transaction Figures     |General Ledger: Transaction Figures                         |
|  0FI_GL_10                    |D      |FI-GL                       |0FI_GL_10                    |SAP         |SAP        |20,040,325,114,958 |3.5/02 |20,040,325,114,958 |       |         |         |G/L(New): Trans.Fig.|General Ledger (New): Transact. Figures |General Ledger (New): Transaction Figures                   |
|  0FI_GL_2                     |A      |FI-GL                       |                             |SAP         |SAP        |19,990,117,005,155 |       |                 0 |       |         |         |GL.: Cost of Sales  |GL.: Transaction Figures - Cost of Sales|GL.: Transaction Figures - Cost of Sales                    |
|  0FI_GL_2                     |D      |FI-GL                       |0FI_GL_2                     |SAP         |SAP        |                 0 |2.0/02 |20,000,320,180,549 |       |         |         |G.ledger: C of sales|Gen.ledger: Trans. figs - cost of sales |General ledger: Transaction figures - Cost of sales ledger  |
|  0FI_GL_4                     |D      |FI-GL                       |0FI_GL_4                     |SAP         |SAP        |20,060,929,110,326 |7.0/03 |20,060,929,110,326 |       |         |         |G/L: Line Items     |General Ledger: Line Items              |General Ledger: Line Items                                  |
|  0FI_GL_6                     |D      |FI-GL                       |0FI_GL_6                     |SAP         |SAP        |20,030,414,111,619 |3.2/01 |20,030,414,111,619 |       |         |         |G/L: Trans.Figures  |G/Ledger: Trans. Figs with Delta Method |General Ledger: Transaction Figures with Delta Method       |
|  0FI_GL_7                     |D      |FI-GL                       |0FI_GL_7                     |SAP         |SAP        |20,030,414,124,130 |3.2/01 |20,030,414,124,130 |       |         |         |G/L: Trans.Figures  |Gen.Ledger: Trans. Figs - Cost of Sales |General Ledger: Trans. Figs - Cost of Sales with Delta Methd|
|  0FI_TAX_4                    |D      |FI-GL                       |0FI_TAX_4                    |SAP         |SAP        |20,020,802,072,800 |3.1/01 |20,020,802,072,800 |       |         |         |G/L: S/P Tax Data   |Gen. Ledger: Data for Tax on Sales/Prchs|General Ledger: Data for Tax on Sales/Purchases             |
|  0FI_TV_01                    |D      |0FI_TV                      |0FI_TV_01                    |SAP         |SAP        |20,000,412,135,629 |2.0/02 |20,000,412,135,629 |       |         |         |Travel Expenses     |Travel Expenses: Totals and Receipts    |Travel Expenses: Totals and Receipts                        |
|  0FI_TV_02                    |D      |0FI_TV                      |0FI_TV_02                    |SAP         |SAP        |20,000,824,131,241 |2.1/01 |20,000,824,131,241 |       |         |         |Travel Pl.: Booking |Travel Planning: Booking Data           |Travel Planning: Booking Data                               |
|  0FI_TV_TVVARIANT_P           |D      |0FI_TV                      |0FI_TV_TVVARIANT_P           |KAUFMANNM   |KAUFMANNM  |20,010,607,084,237 |2.1/01 |20,010,607,084,237 |       |         |         |User Assignment <-> |User Assignment <-> Trip Provision Varia|User Assignment <-> Trip Provision Variant (File Upload)    |
|  0FSCM_CM_0                   |D      |0FSCM_CR                    |0FSCM_CM_0                   |SAP         |SAP        |20,030,616,093,400 |3.3/01 |20,030,616,093,400 |       |         |         |Collect. Proc. Runs |Collective Processing Runs              |Collective Processing Runs                                  |
|  0FSCM_CM_1                   |D      |0FSCM_CR                    |0FSCM_CM_1                   |SAP         |SAP        |20,040,130,063,845 |3.5/02 |20,040,130,063,845 |       |         |         |Header Data         |Header Data                             |Header Data                                                 |
|  0FSCM_CM_3                   |D      |0FSCM_CR                    |0FSCM_CM_3                   |SAP         |SAP        |20,040,616,143,309 |3.5/03 |20,040,616,143,309 |       |         |         |Header and Seg. Data|Header and Segment Data                 |Header and Segment Data                                     |
|  0FSCM_CM_4                   |D      |0FSCM_CR                    |0FSCM_CM_4                   |SAP         |SAP        |20,040,220,114,044 |3.5/02 |20,040,220,114,044 |       |         |         |Total Liability     |Total Liability                         |Total Liability                                             |
|  0FSCM_DM_1                   |D      |0FSCM_DM                    |0FSCM_DM_1                   |SAP         |SAP        |20,030,113,154,613 |3.2/01 |20,030,113,154,613 |       |         |         |Transaction Data    |Transaction Data                        |Transaction Data                                            |
|  0FUNCT_LOC_ATTR              |D      |PM                          |0FUNCT_LOC_ATTR              |SAP         |SAP        |20,060,601,050,828 |7.0/03 |20,060,601,050,828 |       |         |         |Functional Location |Functional Location Attributes          |Functional Location Attributes                              |
|  0FUNC_AREA_TEXT              |D      |0PSM_FM-IO                  |0FUNC_AREA_TEXT              |SAP         |SAP        |20,021,204,131,637 |3.2/01 |20,021,204,131,637 |       |         |         |Functional Area:    |Functional Area: Texts (Flexible Update)|Functional Area: Texts (Flexible Update)                    |
|  0GCC_URPCL_PDH               |D      |DM                          |0GCC_URPCL_PDH               |SAP         |SAP        |20,071,128,214,448 |7.0/03 |20,071,128,214,448 |       |         |         |URP Chg Log to Permi|URP Chg Log to Permission Violations His|URP Chg Log to Permission Violations History DSOs           |
|  0GECCO_ORDER_ATTR            |D      |CO-OM-OPA-IO                |0GECCO_ORDER_ATTR            |SAP         |SAP        |20,030,127,121,547 |3.2/01 |20,030,127,121,547 |       |         |         |Generic Cost Coll.  |Generic Cost Collector                  |Generic Cost Collector                                      |
|  0GL_ACCOUNT_ATTR             |D      |FI-IO                       |0GL_ACCOUNT_ATTR             |SAP         |SAP        |20,030,124,134,055 |3.2/01 |20,030,124,134,055 |       |         |         |G/L Acct :Attributes|G/L Acct: Attributes (Flexible Update)  |G/L Account: Attributes (Flexible Update)                   |
|  0GL_ACCOUNT_TEXT             |D      |FI-IO                       |0GL_ACCOUNT_TEXT             |SAP         |SAP        |20,030,124,134,416 |3.2/01 |20,030,124,134,416 |       |         |         |G/L Account: Texts  |G/L Account: Texts (Flexible Update)    |G/L Account: Texts (Flexible Update)                        |
|  0GM_IC02                     |D      |0PSM_GM                     |0GM_IC02                     |SAP         |SAP        |20,030,702,072,719 |3.3/01 |20,030,702,072,719 |       |         |         |Grants Management To|Grants Management Totals                |Grants Management Totals                                    |
|  0GM_IC04                     |D      |0PSM_GM                     |0GM_IC04                     |SAP         |SAP        |20,030,702,085,037 |3.3/01 |20,030,702,085,037 |       |         |         |Grants Management St|Grants Management Status Network        |Grants Management Status Network                            |
|  0GM_IO01                     |D      |0PSM_GM                     |0GM_IO01                     |SAP         |SAP        |20,030,702,072,406 |3.3/01 |20,030,702,072,406 |       |         |         |Grants Management Li|Grants Management Line Items            |Grants Management Line Items                                |
|  0GM_IO03                     |D      |0PSM_GM                     |0GM_IO03                     |SAP         |SAP        |20,030,702,072,152 |3.3/01 |20,030,702,072,152 |       |         |         |Grants Management Bu|Grants Management Budget Items          |Grants Management Budget Items                              |
|  0GM_IO05                     |D      |0PSM_GM                     |0GM_IO05                     |SAP         |SAP        |20,030,822,123,634 |3.3/01 |20,030,822,123,634 |       |         |         |Responsible for Gran|Responsible for Grant                   |Responsible for Grant                                       |
|  0GM_IO06                     |D      |0PSM_GM                     |0GM_IO06                     |SAP         |SAP        |20,030,822,102,715 |3.3/01 |20,030,822,102,715 |       |         |         |Responsible for Spon|Responsible for Sponsor                 |Responsible for Sponsor                                     |
|  0GM_IO07                     |D      |0PSM_GM                     |0GM_IO07                     |SAP         |SAP        |20,030,822,121,856 |3.3/01 |20,030,822,121,856 |       |         |         |Responsible for Spon|Responsible for Sponsored Program       |Responsible for Sponsored Program                           |
