21.04.2015                                                                                                  Dynamic List Display                                                                                                          1
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  ELTUID                   |OBJVERS|DEFTP|SUBDEFTP|REUSABLE|ISCELL|DEFAULTTEXT|MAPNAME                       |SOURCE_ELTUID|DEFAULTHINT|DEFAULTHINTFLAG|TXTSH               |TXTLG                                                       |
|  44UCJKO7EZLZZ3PUNAS7RULU4|A      |REP  |        |X       |      |           |Z_ZM00022_Q001                |             |           |               |                    |GLPCA Details 1 -  PCA Document                             |
|  44VS0UU9JNJ3WR16BVN5Y58NG|A      |REP  |        |X       |      |           |Z_ZM00022_Q002                |             |           |               |                    |GLPCA Details 2 - Sales Document                            |
|  44VSC6SWLGID5VZK8NZBYH1QK|A      |REP  |        |X       |      |           |Z_ZM00022_Q003                |             |           |               |                    |GLPCA Details 3 - PO Document                               |
|  45A3FR96TJK3PAVOQPOS0865M|A      |REP  |        |X       |      |           |Z_ZM00022_Q004                |             |           |               |                    |GLPCA Details 4 -  Reference Document                       |
|  45CAEVCSVEM19IKME75LAQ9M0|A      |REP  |        |X       |      |           |Z_ZM00023_Q001                |             |           |               |                    |PCA Items - PCA Document                                    |
|  45CAF9V4ORM8G3B5EZKSAFUAW|A      |REP  |        |X       |      |           |Z_ZM00023_Q003                |             |           |               |                    |PCA Items - PO Document                                     |
|  45CCFN3QT1SXMWFT3UZ1Y5BU0|A      |REP  |        |X       |      |           |Z_ZM00023_Q004                |             |           |               |                    |PCA Items - Reference Document                              |
|  45CF4II8QYIX27B425JN0FX2G|A      |REP  |        |X       |      |           |Z_ZM00023_Q002                |             |           |               |                    |PCA Items - SD Document                                     |
|  45O2G2FQ4OPF5AF3ED17DWRRQ|A      |REP  |REP     |X       |      |           |0TCT_MC11_Q0120               |             |           |               |                    |Master Data Status                                          |
|  45PV6MOOXYVE0WS6ONZU1OLUE|A      |REP  |REP     |X       |      |           |0TCT_MC11_Q0132               |             |           |               |                    |DataStore Object Activation                                 |
|  4667LIRCMCW9D389TMMCD6OZW|A      |REP  |        |X       |      |           |Z_ZM00022_Q004                |             |           |               |                    |GLPCA Details 4 -  Reference Document                       |
|  4680MI05U2T5MC0AH9S3H6VBG|A      |REP  |        |X       |      |           |Z_ZM00023_Q001                |             |           |               |                    |PCA Items - PCA Document                                    |
|  4680MTIY9ZDFK56J8DAIK4XZG|A      |REP  |        |X       |      |           |Z_ZM00023_Q002                |             |           |               |                    |PCA Items - SD Document                                     |
|  4686SCF437IL34W3NGS8UT5VW|A      |REP  |        |X       |      |           |Z_ZM00023_Q004                |             |           |               |                    |PCA Items - Reference Document                              |
|  469523ZMUVZDQ0S10NY5R3FNW|A      |REP  |        |X       |      |           |Z_ZM00023_Q003                |             |           |               |                    |PCA Items - PO Document                                     |
|  46EVVRFJIZ1RUPK0T10TH5LHO|A      |REP  |REP     |X       |      |           |Z_ZM00024_Q001                |             |           |               |                    |Allocation Guidelines Report                                |
|  46UGBL5AQ6IASZZ7UZJW5B4LO|A      |REP  |REP     |X       |      |           |Z_ZM00020_Q012                |             |           |               |                    |Allocation Report                                           |
|  46W1AHOUI6JFK5T9RGEXF2VWS|A      |REP  |REP     |X       |      |           |Z_ZM00020_Q016                |             |           |               |                    |CY vs LY Actual Report for Month and YTD (Adj)              |
|  46Y4M51NFMGD9WUJOH3QQ73T8|A      |REP  |        |X       |      |           |Z_ZM00025_Q001                |             |           |               |                    |P&L ($K)                                                    |
|  471TJLMOMROIMRH6MBK17FRWF|A      |REP  |REP     |X       |      |           |0TCT_MCA1_Q0122               |             |           |               |                    |Deviations in Runtimes of BI Application Objects            |
|  471TUMA7RMP7GPSRXUG4EVH1B|A      |REP  |REP     |X       |      |           |0TCT_MCA1_Q0121               |             |           |               |                    |Runtimes of BI Application Objects                          |
|  471TWDV8Q2EFNASK8PTRN4UF3|A      |REP  |REP     |X       |      |           |0TCT_MCA1_Q0131               |             |           |               |                    |Runtimes of InfoProviders                                   |
|  472GTYHMA4MNT9ZDMJEAMAEIN|A      |REP  |REP     |X       |      |           |0TCT_MCA1_Q0132               |             |           |               |                    |Deviations in Runtimes of InfoProviders                     |
|  472K9OKHK3VREFK393R93L1BY|A      |REP  |REP     |X       |      |           |0TCT_MCA1_Q0111               |             |           |               |                    |Runtimes of BI Applications                                 |
|  472KAIV8CLIEVC9U9OZORBZ0E|A      |REP  |REP     |X       |      |           |0TCT_MCA1_Q0112               |             |           |               |                    |Deviations in Runtimes of BI Applications                   |
|  473C3WYWC81PUMZD0GVAXSNWS|A      |REP  |REP     |X       |      |           |Z_ZM00020_Q017                |             |           |               |                    |CY Actual vs CY ACP Report for Month and YTD (Adj)          |
|  473PM73D8FHBZ3NXWGVIC4MI3|A      |REP  |REP     |X       |      |           |0TCT_MCA1_Q0141               |             |           |               |                    |No.of BI Application Object Executions per User             |
|  4743EUYHQXF0DTY1G1M1FYINZ|A      |REP  |REP     |X       |      |           |0TCT_MCA1_Q0143               |             |           |               |                    |No.of BI Application Executions per User                    |
|  476HTKC7YKA26KYNHSJNJ2AKS|A      |REP  |REP     |X       |      |           |Z_ZM00020_Q022                |             |           |               |                    |Comparative Report for Month & YTD & FY                     |
|  47D2LE7WKS90OUOLKF1C963NW|A      |REP  |REP     |X       |      |           |Z_ZM00020_Q015                |             |           |               |                    |3 Way Comparative Report Month, YTD & FY                    |
|  47DB9FV25S1IRGUBPHNPVOB2K|A      |REP  |        |X       |      |           |Z_ZM00025_Q002                |             |           |               |                    |P&L Compare ($K)                                            |
|  47DWXIJLTE3CUUFGBYW9GH3PO|A      |REP  |REP     |X       |      |           |Z_ZM00020_Q019                |             |           |               |                    |Comparative Report with Currency Conversion Month & YTD & FY|
|  47GI82XNGI5N0YS68S9D9MEQ4|A      |REP  |        |X       |      |           |Z_ZM00025_Q004                |             |           |               |                    |SPU Gross Margin Compare ($K)                               |
|  47J2PYKEXW0HM8S86LMTDZAJ0|A      |REP  |        |X       |      |           |Z_ZM00025_Q003                |             |           |               |                    |SPU Gross Margin ($K)                                       |
|  47SORC4LSTSHK64THNEF3FZM4|A      |REP  |REP     |X       |      |           |Z_ZM00028_Q021                |             |           |               |                    |Inventory Movement Report                                   |
|  47WXCDJKS9RS5RS8AYQMZVABW|A      |REP  |        |X       |      |           |Z_ZM00029_Q001                |             |           |               |                    |Audit Report for SEM CPP Loads                              |
|  47WZTAQ2JOSEM3F1GVCE7HQTO|A      |REP  |        |X       |      |           |Z_ZM00025_Q010                |             |           |               |                    |P&L Drill Down Compare $ K (Target Cost not at Constant Fx) |
|  47X0VRA0HERBSSE40PT1PQSR0|A      |REP  |REP     |X       |      |           |Z_ZC00025_Q021                |             |           |               |                    |Procurement reports (By P.O Creation Date)                  |
|  47X0Y4U7OUKK9V150LVTPMHVW|A      |REP  |        |X       |      |           |Z_ZM00025_Q008                |             |           |               |                    |Basic Margin - KPA Compare ($K)                             |
|  47X2B6OMCRGM2ZIKFK0DWIBYK|A      |REP  |        |X       |      |           |Z_ZM00025_Q005                |             |           |               |                    |Revenue - KPA/PPL ($K)                                      |
|  47XTX0N9CJKWPR0JGH99PO5XO|A      |REP  |        |X       |      |           |Z_ZM00025_Q006                |             |           |               |                    |Revenue - KPA/PPL Compare ($K)                              |
|  47YXI3INK9E8JNBSDTSMT8O3W|A      |REP  |REP     |X       |      |           |Z_ZC00025_Q022                |             |           |               |                    |Procurement reports (By P.O GR Date)                        |
|  47ZBV9A3XPCPKBUY5SN8JTHJG|A      |REP  |REP     |X       |      |           |Z_ZC00025_Q023                |             |           |               |                    |Procurement reports (By P.O Requested Del Date)             |
|  47ZJXQ036BEEEHDPC3AGG2JV0|A      |REP  |        |X       |      |           |Z_ZM00025_Q007                |             |           |               |                    |Basic Margin - KPA ($K)                                     |
|  485CXHGAALF46O694E6Q9PQ18|A      |REP  |REP     |X       |      |           |Z_ZM00026_Q003                |             |           |               |                    |Target Cost Verification                                    |
|  485G4GLS6RT4M7IDCZN6KDWCS|A      |REP  |        |X       |      |           |Z_ZM00026_Q001                |             |           |               |                    |Quantity and Average Price Verification (at PPL)            |
|  485G4VYU3Z85VAEP14BQOBBWS|A      |REP  |        |X       |      |           |Z_ZM00026_Q002                |             |           |               |                    |Quantity and Target/Transfer Verification (at KPA)          |
|  48K5H57Y0JK5B9GV0YO3B55AK|A      |REP  |        |X       |      |           |Z_ZM00033_Q001                |             |           |               |                    |Balance to Hyperion Calculation                             |
|  48OM8AR2YJSG2973CTBEJNDVW|A      |REP  |REP     |X       |      |           |Z_ZIS00005_Q001               |             |           |               |                    |Material Characteristics Report                             |
|  48X0MLPXBH6AEAB1YI3ICNIFG|A      |REP  |        |X       |      |           |Z_ZM00025_Q012                |             |           |               |                    |Managerial P&L - 3 way compare Report                       |
|  49638RWWSNM39CHBFW74B991O|A      |REP  |        |X       |      |           |Z_ZM00025_Q014                |             |           |               |                    |Managerial P&L 5 Version Report - USD ($K)                  |
|  4A5FOV9US96E08VKXTTTYYDXO|A      |REP  |        |X       |      |           |Z_ZM00025_Q018_11             |             |           |               |                    |Standard MOR Report ($M) - by SPU                           |
|  4A69LY6FRL7ZH0DV6MEG0KWEK|A      |REP  |        |X       |      |           |Z_ZM00025_Q018_10             |             |           |               |                    |Standard MOR Report ($M) - main report                      |
|  4ADEXCMSPZSTE5YKLD0I2VK0C|A      |REP  |REP     |X       |      |           |Z_ZM00040_Q001                |             |           |               |                    |SNP Item Delivery Performance                               |
|  4AJ91KJ9AYJBO89C4F5GWS6QV|A      |REP  |        |X       |      |           |Z_ZM00025_Q019_10             |             |           |               |                    |Standard MOR#2 Report ($M) - main report                    |
|  4AKJBZN7W2B9GDE8FULP0VUP3|A      |REP  |        |X       |      |           |Z_ZM00025_Q019_11             |             |           |               |                    |Standard MOR#2 Report ($M) - by SPU                         |
|  4AMZG6E0KDNY1W43QFC9CRNRG|A      |REP  |REP     |X       |      |           |ZM00038_Q001                  |             |           |               |                    |Discount Analysis Query                                     |
|  4AZ040LOALIR6IWZADNPOHUKS|A      |REP  |        |X       |      |           |Z_ZM00025_Q020_10             |             |           |               |                    |Standard MOR-CDG/FPEG Regional (Main)                       |
|  4AZ369RHNJXQZ9YWP3E4MPYJR|A      |REP  |        |X       |      |           |Z_ZM00025_Q020_11             |             |           |               |                    |Standard MOR-CDG/FPEG Regional (BU)                         |
|  4CFOG5MVER4MOBXVMDU0PAR6V|A      |REP  |REP     |X       |      |           |Z_ZM00043_Q001                |             |           |               |                    |APO DP Forecast Accuracy - SemiFin                          |
|  4CGSJDMM76U59XTZ9VWY3MLGN|A      |REP  |REP     |X       |      |           |Z_ZM00043_Q002                |             |           |               |                    |APO DP Forecast Accuracy - Finished Item                    |
|  4CGSQXVY9OALGV6U3IW6H9353|A      |REP  |REP     |X       |      |           |Z_ZM00043_Q003                |             |           |               |                    |APO DP Forecast Accuracy - KPA                              |
|  4CGSU669BIXWG3MIFOC2OZNDZ|A      |REP  |REP     |X       |      |           |Z_ZM00043_Q004                |             |           |               |                    |APO DP Forecast Accuracy - SPU                              |
|  4CKY31NABNVKRMMZYUWKP934C|A      |REP  |REP     |X       |      |           |Z_ZM00045_Q004                |             |           |               |                    |Disputes - Details - Generic                                |
|  4CLJRKZ1CZ6YTWFI3AYZFCOB0|A      |REP  |REP     |X       |      |           |Z_ZM00045_Q001                |             |           |               |                    |Disputes - Dates for queries                                |
|  4CLJRTIAFFBBIY1GKPKMLJ8Y4|A      |REP  |REP     |X       |      |           |Z_ZM00045_Q002                |             |           |               |                    |Disputes - Executive Summary Generic                        |
|  4CLJSAD41CYBEEPXDOPKNUFIK|A      |REP  |REP     |X       |      |           |Z_ZM00045_Q003                |             |           |               |                    |Disputes - Summary - Generic                                |
|  4D8XLKA5MKIU90JQ5U3YKAH47|A      |REP  |REP     |X       |      |           |Z_ZM00040_Q002                |             |           |               |                    |SNP Item Plan-to-Plan Comparison                            |
|  4DY46N8DYI2PP8ZEPXMU2PULJ|A      |REP  |REP     |X       |      |           |Z_ZM00042_Q001                |             |           |               |                    |Order Line Extract                                          |
|  4E4HG9HBHGRAD0WWSBPQYE9E4|A      |REP  |REP     |X       |      |           |Z_ZM00045_Q012                |             |           |               |                    |Disputes - Stats Customer & Type.                           |
|  4E53H5R01H6MQKZUJ5VF1Z85O|A      |REP  |REP     |X       |      |           |Z_ZM00045_Q011                |             |           |               |                    |Disputes - Stats - Count & Value over time                  |
|  4E6HKDZ3CWPSQ8YW3NQXMPHXO|A      |REP  |        |X       |      |           |Z_ZM00051_Q004                |             |           |               |                    |Revenue Report  - Daily Snap Shot                           |
|  4E8EXLFKOKZ6GQFXYDQAF84R0|A      |REP  |        |X       |      |           |Z_ZM00051_Q001                |             |           |               |                    |Daily Sales Alert -Revenue Report                           |
|  4EBKY4VK3BN54PPWCDTQTONBG|A      |REP  |REP     |X       |      |           |Z_ZM00021_Q015                |             |           |               |                    |SNP S&OP Digital Products                                   |
|  4EQ90566G9I8SA7LPKAZRKC24|A      |REP  |REP     |X       |      |           |Z_ZM00040_Q003                |             |           |               |                    |SNP Digital Products ODM Shipment                           |
|  4EY5MSM8Y4BKNEIPIH2VMRAQV|A      |REP  |REP     |X       |      |           |Z_ZM00040_Q004                |             |           |               |                    |SNP Available to Sell                                       |
|  4F6PR3836803STLESH97Q6TK7|A      |REP  |REP     |X       |      |           |Z_ZM00040_Q005                |             |           |               |                    |SNP Freight Forwarder Shipment - AMERICAS                   |
|  4F97ABGWOVK08KM5NR9K83AQV|A      |REP  |REP     |X       |      |           |Z_ZM000010_Q003               |             |           |               |                    |A/R Aging Report in US $                                    |
|  4F97G7ZHA85ZK6PB3K1AEFRXJ|A      |REP  |REP     |X       |      |           |Z_ZM000010_Q006               |             |           |               |                    |A/R Aging Analysis incl. reserve accts in US $              |
|  4F97UJWUUE9WM50V0XA1QDJC7|A      |REP  |REP     |X       |      |           |Z_ZM000010_Q004               |             |           |               |                    |DSO and Past Due Trending in US $                           |
|  4F9FOXOKXKOR8WMHIBL0E2ASN|A      |REP  |REP     |X       |      |           |Z_ZM000010_Q001               |             |           |               |                    |DSO and Past Due in US $                                    |
|  4F9GBN63DGU6222SXFMXQGP3G|A      |REP  |REP     |X       |      |           |Z_ZM00040_Q006                |             |           |               |                    |SNP Freight Forwarder Shipment - EAMER                      |
|  4F9GDAWUULOMXDCIB9UFXQPL8|A      |REP  |REP     |X       |      |           |Z_ZM00040_Q007                |             |           |               |                    |SNP Freight Forwarder Shipment - GAR                        |
|  4F9H35K7NS3K405EVGL2UE3VR|A      |REP  |REP     |X       |      |           |Z_ZM000010_Q002               |             |           |               |                    |DSO and Past Due in Company Code Currency                   |
|  4F9KCIGMBOAVSF72SPX8M7CI4|A      |REP  |REP     |X       |      |           |Z_ZM000010_Q007               |             |           |               |                    |DSO and Past Due Trending in Company Code Currency          |
|  4FDLODO8AIT9HW6G0PZHWFIUF|A      |REP  |REP     |X       |      |           |Z_ZM000010_Q008               |             |           |               |                    |A/R Aging Report in Company Code Currency                   |
|  4FEDAX099H2WXIH0JA324IAEF|A      |REP  |REP     |X       |      |           |Z_ZM000010_Q009               |             |           |               |                    |A/R Aging Analysis incl. reserve accounts in Local          |
|  4FMN2SVBNHYCD8KM6MXNOQUJ0|A      |REP  |        |X       |      |           |Z_ZM00025_Q001A               |             |           |               |                    |P&L ($K) - New Format                                       |
|  4FN9GJVXDJLL880HB8603LERW|A      |REP  |        |X       |      |           |Z_ZM00025_Q002A               |             |           |               |                    |P&L Compare ($K) - New Format                               |
|  4FNBHNQDOUYFI57Z547BRFI8C|A      |REP  |        |X       |      |           |Z_ZM00025_Q014A               |             |           |               |                    |Managerial P&L 5 Version Report - USD ($K) - New Format     |
|  4FQH5DPVENFDIXIBSQHTVJH8S|A      |REP  |        |X       |      |           |Z_ZM00025_Q012A               |             |           |               |                    |Managerial P&L - 3 way compare Report - New Format          |
|  4G0RF2DSBF37SNDJ1RLP2MPL8|A      |REP  |        |X       |      |           |Z_ZM00060_Q001                |             |           |               |New query           |WW SPU Inventory Trending and DSI                           |
|  4G0RIAVRW8C8AICNJR3XKF8JW|A      |REP  |        |X       |      |           |Z_ZM00060_Q002                |             |           |               |New Query           |WW Stat Inventory Trend                                     |
|  4G414OEFFNY9IH894I1EV0O3W|A      |REP  |        |X       |      |           |Z_ZM00016_Q006_CR_PADMAJA1    |             |           |               |                    |CR Daily Sales Segment and SPG                              |
|  4G970N2I6429O0ENJPI2GULN0|A      |REP  |        |X       |      |           |Z_ZM00016_Q019                |             |           |               |                    |Detail Daily Sales Report                                   |
|  4GBN0YXW03CNXPP1237UPISCS|A      |REP  |        |X       |      |           |Z_ZM00016_Q017_WEBI           |             |           |               |                    |EAMER Daily Sales Report                                    |
|  4GKJNSJM2QJTHSWW0DF95HFD8|A      |REP  |        |X       |      |           |Z_ZM00061_Q001                |             |           |               |                    |Daily Sales Gap by Day (web)                                |
|  4GKJO4PG3IX7ZHPH8Z4P2LE6K|A      |REP  |REP     |X       |      |           |Z_ZM00061_Q003                |             |           |               |                    |Detail Daily Sales Report                                   |
|  4GKJO8C11V69S4W4068HTISCS|A      |REP  |        |X       |      |           |Z_ZM00061_Q002                |             |           |               |                    |Daily Sales Gap by Day % of month (web)                     |
|  4GNDI4L21I1ARQP0EM5XPT99M|A      |REP  |        |X       |      |           |ZM00058_Q001                  |             |           |               |                    |GCG Dealer Inventory                                        |
|  4GVJLXUNZ2ASYO2QR6EMNSWAS|A      |REP  |REP     |X       |      |           |ZM00058_Q001                  |             |           |               |                    |GCG Dealer Inventory                                        |
|  4GZ3B4J9781YPKZ51XF63J344|A      |REP  |REP     |X       |      |           |Z_ZM00062_Q001                |             |           |               |                    |CMIS ICPI/VAS Net Change Calculations                       |
|  4H3H90T6XG9TICGCDZJQH1PQC|A      |REP  |        |X       |      |           |Z_ZM00025_Q021                |             |           |               |                    |SEM Margin Estimate for APD                                 |
|  4H3Y59ZLD9YL9XBRYNMTGXCHW|A      |REP  |REP     |X       |      |           |Z_ZM000010_Q010               |             |           |               |                    |Audit A/R Company Codes (Reporting Units)                   |
|  4HH474R4HM8OHA7VCDAHG0Y9W|A      |REP  |        |X       |      |           |Z_ZM00016_Q021                |             |           |               |                    |EAMER Daily Sales Report - Drill To Customer                |
|  4HI5D65Y8VAE8PB2HI2RA0EX0|A      |REP  |REP     |X       |      |           |ZM00037_Q005                  |             |           |               |                    |Order Life Cycle True History Query v5                      |
|  4HLNYSL534K7ZTCWNMCHD09L0|A      |REP  |REP     |X       |      |           |ZM00063_Q006                  |             |           |               |                    |Direct Sales                                                |
|  4HN8F5Y6NA6PZRS5CF9OYRATG|A      |REP  |REP     |X       |      |           |ZM00063_Q001_MEDIA            |             |           |               |                    |Customer Performance Report - Media                         |
|  4HO5ED3TUUKTP3TMTHR4Q6JD0|A      |REP  |REP     |X       |      |           |ZM00063_Q001_CUSTOMER         |             |           |               |                    |Customer Performance Report Customer                        |
|  4HO6PPR9PZLNHYDPWBCCWJXQC|A      |REP  |REP     |X       |      |           |ZM00063_Q001_SUMMARY1         |             |           |               |                    |Customer Performance Report - Summary                       |
|  4HOAR8WHF025UCHC5RQ46UM4K|A      |REP  |REP     |X       |      |           |ZM00063_Q015                  |             |           |               |                    |Customer Churn with Lease and Depreciation                  |
|  4HOASXAAH0PR9JDE144N8AIRO|A      |REP  |REP     |X       |      |           |ZM00063_Q016                  |             |           |               |                    |Contract to Actual                                          |
|  4HOAWEJ7S95BEHRR5R36QK6TG|A      |REP  |REP     |X       |      |           |ZM00063_Q013                  |             |           |               |                    |Sales Ops                                                   |
|  4HODL3NKS1TCH02DXRAZ5VP1G|A      |REP  |REP     |X       |      |           |ZM00063_Q014                  |             |           |               |                    |Sales Ops with Cost                                         |
|  4HPC09QYZ19AELQBHKEYIRFK4|A      |REP  |REP     |X       |      |           |ZM00065_Q001                  |             |           |               |                    |GCG Sales Revenue Report                                    |
|  4HQTBGEDS7YAUCKZ00V1UICG4|A      |REP  |        |X       |      |           |Z_ZM00061_Q006_XLF            |             |           |               |                    |Daily Sales: Chart View by Day Report (for Xcelsius)        |
|  4HSCWAU3UU31CMHLTIIKJFM9W|A      |REP  |        |X       |      |           |Z_ZM00060_Q003                |             |           |               |                    |WW SPU Inventory Trending and DSI Ver 2                     |
|  4HY186765AVD5T16IURDLW03O|A      |REP  |        |X       |      |           |Z_ZM00061_Q004_XLF            |             |           |               |                    |Daily Sales: Metrics Report (for Xcelsius)                  |
|  4I0T94R1JFI82IQL1EH25U83O|A      |REP  |REP     |X       |      |           |YM00053_Q001                  |             |           |               |                    |YM00053_Q001                                                |
|  4I6LZEDPEYN8WENE96YQYT9XG|A      |REP  |REP     |X       |      |           |Z_ZM00062_Q001_1              |             |           |               |                    |CMIS ICPI/VAS Net Change Calculations                       |
|  4IC73QK6X6UWJINZ9I2Z5LIF8|A      |REP  |REP     |X       |      |           |Z_ZM00066_Q001                |             |           |               |                    |Equipment and Revenue Tracking (BOLT)                       |
|  4IO2SS1MTJXPXZT7QKGBSNO1W|A      |REP  |REP     |X       |      |           |Z_ZM00067_Q001                |             |           |               |                    |SNP versus GDW Inventory Comparison                         |
|  4IP6PAEXHGO4OAS5K933KOOEC|A      |REP  |REP     |X       |      |           |Z_ZM00066_Q010                |             |           |               |                    |Equipment and Revenue Tracking (BOLT) VC Version            |
|  4IR2BUWCIUD8786WJCZBKT2F8|A      |REP  |        |X       |      |           |Z_ZM00016_Q023                |             |           |               |                    |EAMER Daily Sales - Detail Analysis Drill Down              |
|  4ISF7H5Z1YMS8UDV9FVJXP4SK|A      |REP  |        |X       |      |           |Z_ZM00061_Q005                |             |           |               |                    |Daily Sales Analytics Projected Revenue                     |
|  4IWNURNRIPADN37J6Y2ZEAR2C|A      |REP  |REP     |X       |      |           |Z_ZM00007_Q009                |             |           |               |                    |Sales Analysis and APO DP Reconciliation                    |
|  4J1XKTHTH7LCDNQ25N97B9JES|A      |REP  |        |X       |      |           |Z_ZM00016_Q024_WEBI           |             |           |               |                    |APR Daily Sales Report                                      |
|  4J217D62KHRQGJ8KAFM313Z44|A      |REP  |REP     |X       |      |           |REP_20100908153307            |             |           |               |                    |Z_ZIS00007_Q001                                             |
|  4JB7LL4I3VUDTMHH8DLBXQW0A|A      |REP  |        |X       |      |           |Z_ZM00016_Q025                |             |           |               |                    |APR Daily Sales Report - Drill To Customer                  |
|  4JKH2XZ7LTGKKAG4V8JS9XBIC|A      |REP  |REP     |X       |      |           |Z_ZM00061_Q008                |             |           |               |                    |Daily Sales Actuals Drill Down                              |
|  4JMREPVSJ4PBFX8YKU1NQP30K|A      |REP  |REP     |X       |      |           |Z_ZM00061_Q007                |             |           |               |                    |Actuals for Daily Estimate Smoothing                        |
|  4JOSUWXESSE4CBDMH1SIXIKJO|A      |REP  |REP     |X       |      |           |Z_ZM00061_Q010                |             |           |               |                    |Current Month Daily Estimates                               |
|  4JUNRO07AMDSJIRSDSCGG3FK5|A      |REP  |        |X       |      |           |Z_ZM00069_Q002                |             |           |               |                    |Sales Force Profitability Mass Extract                      |
|  4JVKUWOZY8K9FK6PYX65MXHMT|A      |REP  |REP     |X       |      |           |Z_ZM00043_Q006                |             |           |               |                    |APO DP Forecast Accuracy Graph                              |
|  4JWLD3IGWLAFVE4Y72RR4LS3P|A      |REP  |REP     |X       |      |           |Z_ZM00068_Q001                |             |           |               |                    |GCG Channel Sales and Inventory                             |
|  4K0AFCRGIDVJ8RLYJVOU3IGZP|A      |REP  |REP     |X       |      |           |Z_ZM00043_Q008                |             |           |               |                    |APO DP Waterfall Analysis                                   |
|  4K20NCR3TRCJAE22JJXUTV8G5|A      |REP  |        |X       |      |           |Z_ZM00061_Q011                |             |           |               |                    |Monthly Revenue Trend                                       |
|  4K5UTKCXASWIUZ49VFV3SK2H1|A      |REP  |        |X       |      |           |Z_ZM00061_Q009                |             |           |               |                    |Open Orders Revenue Analysis                                |
|  4K9J8CLEEVJCZ9X98HV5YDO5H|A      |REP  |        |X       |      |           |Z_ZM00069_Q001                |             |           |               |                    |Profitability Detail Report                                 |
|  4KN8QC6KHQVQJXWLNYQMR38ND|A      |REP  |REP     |X       |      |           |Z_ZC00027_Q010                |             |           |               |                    |EKBI Warehousing Costs                                      |
|  4L793XTL5EU8C2ZYR7GY0UV7T|A      |REP  |REP     |X       |      |           |Z_ZM00070_Q001                |             |           |               |                    |Channel Data Hub Sales and Inventory                        |
|  4LQY7YBUMFASEWBO4ZV67EUMH|A      |REP  |REP     |X       |      |           |Z_ZM00078_Q001                |             |           |               |                    |SA to SEM Discrepancy Report                                |
|  4LYCQ8RGLGPYML080RSTHC9S9|A      |REP  |REP     |X       |      |           |Z_ZM00079_Q001                |             |           |               |                    |LVE Ship Complete                                           |
|  4LZ3VQAU7SY8NABXTJFPTSVWP|A      |REP  |REP     |X       |      |           |Z_ZM00079_Q003                |             |           |               |                    |LVE Cycle Time: Ship from CP to Rev Rec                     |
|  4LZ4E5NZQ5QY7VYPQZM65G03T|A      |REP  |REP     |X       |      |           |Z_ZM00079_Q004                |             |           |               |                    |LVE Cycle Time: Contract Signed to Rev Rec                  |
|  4LZ4MOHP4CW888UATX4NRWPS9|A      |REP  |REP     |X       |      |           |Z_ZM00079_Q008                |             |           |               |                    |LVE Cycle Time: Contract Signed to Rev Rec Details          |
|  4LZ9ETSYSKMC2NUTZK0OP4SCP|A      |REP  |REP     |X       |      |           |Z_ZM00079_Q005                |             |           |               |                    |LVE Ship Complete Details                                   |
|  4M0SKHSLU8UOOCSL1WEHF38ND|A      |REP  |REP     |X       |      |           |Z_ZM00079_Q007                |             |           |               |                    |LVE Cycle Time: Ship from CP to Rev Rec Details             |
|  4M10MHKQR7X79Q3PQGDVSED1L|A      |REP  |REP     |X       |      |           |Z_ZM00079_Q002                |             |           |               |                    |LVE Planned vs Actual Start of Install                      |
|  4M11ZH3M1B66PWGU8B9ETWADL|A      |REP  |REP     |X       |      |           |Z_ZM00079_Q006                |             |           |               |                    |LVE Planned vs Actual Start of Install Details              |
|  4M15YB1K3OREAC6C9OBGT1V9L|A      |REP  |REP     |X       |      |           |Z_ZM00080_Q001                |             |           |               |                    |CRM Service Contract and Ibase - Master Report              |
|  4M2N9RXMP3OD407PYSW01W4UH|A      |REP  |REP     |X       |      |           |Z_ZM00021_Q016                |             |           |               |                    |SNP Product Aggregate Performance                           |
|  4M6MCQL346Y584VA9CTLZV821|A      |REP  |        |X       |      |           |Z_ZM00025_Q022                |             |           |               |                    |Basic Margin KPA Compare with Service Costs                 |
|  4M8KXNULRG8U8BBC5Q3J2U1L5|A      |REP  |REP     |X       |      |           |Z_ZM00080_Q004                |             |           |               |                    |CRM Getronics Report                                        |
|  4M9ELTTCSK36X7VKCSQUFTTHL|A      |REP  |        |X       |      |           |Z_ZM00025_Q023                |             |           |               |                    |Basic Margin KPA with Service Costs                         |
|  4MBJ3FZB1R9ZWKERIRJUTS8ZT|A      |REP  |REP     |X       |      |           |Z_ZM00081_Q002                |             |           |               |                    |LVE Perfect Order Details                                   |
|  4MBVFXPARGO85ZVRYW1491PQH|A      |REP  |REP     |X       |      |           |Z_ZM00081_Q001                |             |           |               |                    |LVE Perfect Order                                           |
|  4MS627HZU8WUGI4PEW73D9SI1|A      |REP  |        |X       |      |           |Z_ZM00060_Q005                |             |           |               |                    |Balance Sheet ($K)                                          |
|  4MV0I05X8Z62J993VG1VOYEFD|A      |REP  |REP     |X       |      |           |Z_ZM00082_Q001                |             |           |               |                    |LVE Supplier Delivery Performance                           |
